"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34796.7188, 14967.9443, 80.6679, 26.8805, 4.5388, 27.6790, 20.0037, 12.2014, 11.6127, 9.9946, 5.0767, 5.7602, 1.1235, 13.6444, 16.4905, 0.6921, 3.3539, 4.3891, 10.0821, 5.4721, 1.4373, 1.8452, 2.4894, 10.5143, 15.6139, 8.6938, 2.2162, 3.8576, 5.0649, 5.8973, 4.6275, 2.8873, 9.6215, 3.2040, 10.5601, 5.7043, 1.7977, 5.6553, 2.2105, 6.9031, 5.0358, 6.0871, 6.3896, 5.0332, 7.5152, 9.1648, 2.9590, 7.6364, 2.9416, 9.4732, 13.5094, 7.5679, 2.9699, 5.3919, 5.6308, 5.0870, 6.7063, 3.4264, 8.7946, 6.2260, 9.5578, 8.3620, 3.8363, 6.5437,"nope"
34819.7695, 14990.5605, 82.9039, 32.9633, 15.8787, 6.0126, 20.6628, 16.2138, 11.1699, 5.7504, 7.3379, 15.7085, 7.0781, 6.4148, 4.0093, 5.5797, 7.5878, 7.0612, 8.1472, 4.6300, 4.3209, 17.5386, 15.7178, 9.0951, 0.8717, 6.5970, 5.3547, 6.3774, 3.4069, 5.5073, 6.6311, 4.3922, 3.9901, 6.9231, 10.3114, 10.5404, 0.9622, 3.8497, 4.1644, 1.4066, 3.9195, 9.6777, 6.3697, 8.2304, 11.6061, 8.7552, 7.8347, 8.7774, 3.7492, 3.8436, 1.2234, 2.5993, 3.9465, 4.4309, 3.6984, 2.4302, 2.9513, 3.5182, 7.2016, 4.0655, 5.0168, 1.7161, 1.3687, 5.6830,"nope"
34824.3281, 14998.2842, 89.8420, 20.4436, 13.9034, 16.7218, 5.1072, 3.4068, 3.2861, 7.4543, 13.3302, 2.7254, 3.4364, 6.4252, 4.7603, 9.3642, 10.9810, 5.3870, 13.2912, 15.4768, 8.1785, 1.7482, 4.0738, 8.4232, 8.8242, 0.8804, 9.7272, 9.9078, 7.6935, 7.3761, 2.5698, 5.3033, 1.5862, 5.6755, 5.9208, 4.5642, 5.6173, 6.2061, 7.9795, 5.5066, 2.7209, 3.2501, 10.4556, 7.8322, 1.5506, 6.2540, 5.3643, 6.4611, 6.5748, 5.2638, 10.2233, 13.0939, 6.9323, 3.5484, 6.6290, 6.5667, 5.5503, 4.2992, 4.0244, 4.8333, 5.6708, 6.8254, 6.8674, 5.8984,"nope"
34837.0625, 15003.6445, 84.4024, 30.6671, 35.4183, 12.1902, 16.3886, 10.2604, 19.0497, 2.2855, 5.6223, 7.1328, 9.3651, 6.0836, 14.6473, 3.7817, 5.5422, 12.0758, 7.4090, 1.3291, 5.4752, 13.6983, 18.8874, 5.9117, 8.7527, 6.9968, 7.7738, 10.8523, 3.4934, 3.8633, 7.3537, 6.0016, 8.9099, 7.5785, 10.1701, 6.0179, 3.4860, 4.8534, 10.1976, 8.9146, 4.1020, 5.9253, 7.4373, 7.6283, 12.6020, 8.4505, 5.9317, 3.4523, 5.4942, 6.9899, 4.6779, 5.5603, 2.3559, 6.9390, 3.2265, 7.1486, 9.9771, 13.1617, 11.6381, 9.0928, 7.7703, 8.5045, 3.0346, 4.4527,"nope"
34808.4844, 14984.7500, 80.0135, 45.9154, 5.6543, 9.1947, 9.2330, 27.3538, 12.8699, 8.8860, 8.4644, 21.7313, 18.0613, 2.3638, 1.0190, 11.0256, 9.7240, 6.4396, 5.3101, 9.6145, 5.2349, 12.1563, 12.6535, 5.3352, 5.9224, 6.5749, 10.8664, 20.1115, 16.1831, 4.6207, 14.6280, 14.2901, 15.5568, 11.9619, 13.6540, 7.5252, 3.3731, 6.3498, 9.8654, 6.1225, 7.7336, 10.3239, 9.8146, 6.5858, 6.3348, 4.1713, 4.1772, 11.4833, 8.2548, 5.6645, 6.1292, 3.5154, 4.5308, 5.5983, 3.7783, 2.5982, 8.2639, 3.4646, 8.3850, 5.4773, 3.8488, 0.9161, 6.2088, 4.8925,"nope"
34804.9375, 14985.0869, 87.3970, 31.3174, 9.8800, 17.0491, 16.4892, 12.0630, 8.0911, 5.7485, 8.4631, 9.7402, 5.5309, 5.1608, 17.3874, 13.4150, 14.9836, 12.4758, 9.3305, 8.1777, 16.8328, 31.5992, 19.9706, 10.8500, 3.3987, 12.2900, 16.2466, 5.1596, 9.6874, 10.7216, 5.6404, 2.1802, 3.1533, 5.5100, 4.6198, 5.1870, 4.5472, 11.6358, 6.0832, 1.9040, 3.6255, 4.4800, 3.5022, 4.3331, 1.6165, 2.1284, 4.7926, 2.8929, 0.7490, 1.9895, 2.2387, 1.0414, 3.5756, 2.2654, 4.4022, 7.4742, 7.6382, 4.3634, 4.1461, 4.3552, 1.9133, 4.2965, 3.8798, 5.4065,"nope"
34809.4141, 14982.2070, 87.8746, 18.3820, 23.0166, 21.6205, 13.7594, 6.3661, 5.0023, 14.3533, 7.6138, 4.4024, 8.3926, 8.0163, 7.6639, 13.0344, 10.0509, 6.3124, 9.2052, 7.8242, 4.0257, 7.1050, 7.5274, 7.1684, 5.9007, 4.1479, 6.5335, 1.3233, 1.4049, 6.9408, 10.0430, 6.1165, 2.2691, 2.4712, 1.8623, 4.7853, 4.3071, 4.9178, 7.3341, 4.6191, 2.6072, 5.7428, 4.2909, 8.7572, 7.8057, 5.0169, 7.1839, 7.7263, 7.4634, 7.1110, 6.3004, 4.9606, 4.4053, 10.2582, 10.8850, 7.2157, 7.4814, 3.1749, 3.7488, 3.7162, 6.0648, 4.3640, 3.9134, 2.0733,"nope"
34821.6445, 14983.4922, 72.2380, 44.4506, 12.0856, 6.1975, 7.9564, 22.8068, 16.6503, 13.6535, 11.5011, 5.6660, 10.6337, 4.5923, 3.5296, 5.3130, 6.0381, 13.5424, 13.2686, 13.2974, 4.5237, 5.5754, 6.7264, 6.3633, 8.8663, 2.4001, 3.0031, 0.4200, 2.1112, 8.1942, 11.9227, 8.1515, 7.2276, 6.7165, 5.6016, 7.1341, 2.5768, 3.3711, 6.9406, 6.0215, 4.1847, 2.3859, 6.4881, 7.0793, 11.2690, 7.4376, 2.7739, 6.1901, 8.9539, 13.0754, 2.4588, 4.7091, 6.5983, 3.6396, 3.5338, 4.4348, 6.0560, 1.8664, 6.0581, 6.1216, 10.8693, 12.3263, 8.3326, 4.7032,"nope"
34777.0508, 14965.6416, 69.4963, 28.7515, 22.0591, 20.4530, 8.1504, 1.7951, 16.8130, 16.3874, 2.8859, 8.5231, 11.1863, 5.1950, 10.7284, 9.5028, 11.8215, 13.5267, 9.8454, 5.4648, 6.6539, 5.5780, 3.4616, 3.1749, 5.2973, 10.9361, 6.5962, 4.4836, 7.9275, 9.1637, 9.4514, 4.8995, 2.4428, 8.3924, 8.8791, 9.9077, 10.7251, 7.0861, 11.1544, 6.1912, 3.5992, 6.8738, 2.7754, 2.5152, 6.8879, 9.0741, 10.3575, 2.3033, 8.4463, 5.0902, 3.0932, 6.9212, 5.4203, 4.9308, 8.8711, 8.8765, 6.0074, 3.1451, 4.3839, 11.9829, 7.9162, 0.6788, 3.6847, 9.0264,"nope"
34825.8672, 14985.2607, 66.6513, 34.1162, 28.1265, 9.7074, 10.8386, 2.1396, 16.0747, 14.1913, 14.3210, 12.1477, 2.6057, 6.7122, 2.3893, 7.7602, 4.3715, 18.1352, 16.9179, 11.6165, 6.7009, 5.8452, 10.4532, 13.4050, 11.1095, 13.5901, 11.9899, 11.4055, 13.1702, 10.3581, 10.9612, 2.0102, 9.1232, 11.6630, 9.1216, 7.0019, 4.4483, 2.9385, 3.4045, 6.9020, 8.3660, 3.3860, 3.6716, 5.2810, 3.9437, 4.6971, 6.4042, 5.6077, 3.4455, 2.9921, 6.7689, 6.4503, 2.1567, 4.4446, 12.0318, 8.2233, 2.0776, 2.2896, 5.5716, 8.8761, 2.1666, 3.8120, 3.1803, 4.6010,"nope"
