"f1","f2","label"
19.70, 18.80,"nope"
11.46, 20.21,"nope"
10.38, 20.34,"nope"
8.23, 23.41,"nope"
18.88, 16.52,"nope"
29.80, 13.25,"nope"
18.48, 14.95,"nope"
13.41, 16.52,"nope"
8.11, 30.29,"nope"
17.35, 16.51,"nope"
16.97, 21.20,"nope"
10.97, 19.94,"nope"
14.90, 18.79,"nope"
18.53, 14.50,"nope"
9.47, 21.97,"nope"
9.19, 24.36,"nope"
11.00, 18.28,"nope"
9.35, 24.72,"nope"
27.95, 13.48,"nope"
15.35, 15.37,"nope"
30.27, 14.44,"nope"
22.14, 13.93,"nope"
30.74, 16.65,"nope"
20.60, 13.48,"nope"
14.72, 20.09,"nope"
11.30, 22.05,"nope"
14.76, 18.11,"nope"
11.38, 20.26,"nope"
48.13, 15.00,"nope"
28.66, 22.69,"nope"
33.07, 23.17,"nope"
13.23, 20.19,"nope"
13.56, 22.20,"nope"
84.21, 14.73,"nope"
28.72, 17.24,"nope"
33.93, 17.52,"nope"
18.93, 16.11,"nope"
27.76, 12.34,"nope"
13.19, 19.41,"nope"
9.43, 21.38,"nope"
27.64, 16.63,"nope"
26.99, 19.01,"nope"
13.51, 22.94,"nope"
35.32, 10.71,"nope"
53.21, 13.20,"nope"
39.66, 13.71,"nope"
56.36, 15.10,"nope"
46.99, 19.44,"nope"
44.21, 13.60,"nope"
39.31, 13.05,"nope"
19.60, 15.10,"nope"
28.74, 18.19,"nope"
23.55, 18.31,"nope"
17.63, 25.52,"nope"
93.18, 12.95,"nope"
916.99, 14.57,"nope"
130.39, 16.14,"nope"
296.71, 20.54,"nope"
60.19, 20.56,"nope"
29.95, 18.58,"nope"
25.89, 14.28,"nope"
29.03, 14.41,"nope"
26.75, 11.61,"nope"
15.89, 16.87,"nope"
18.57, 17.87,"nope"
31.97, 12.53,"nope"
20.51, 16.35,"nope"
23.31, 17.00,"nope"
43.58, 17.57,"nope"
29.01, 18.72,"nope"
27.97, 18.41,"nope"
23.96, 18.35,"nope"
21.81, 18.34,"nope"
25.01, 14.28,"nope"
24.71, 18.55,"nope"
47.67, 16.04,"nope"
27.57, 15.83,"nope"
18.38, 15.95,"nope"
27.44, 11.53,"nope"
14.95, 15.71,"nope"
35.16, 15.50,"nope"
23.69, 17.67,"nope"
20.35, 19.36,"nope"
8.17, 25.79,"nope"
11.46, 18.30,"nope"
34.30, 15.55,"nope"
18.38, 15.66,"nope"
22.59, 15.57,"nope"
36.54, 16.74,"nope"
23.30, 18.16,"nope"
18.50, 15.97,"nope"
45.93, 10.47,"nope"
38.55, 11.61,"nope"
21.35, 17.84,"nope"
11.93, 21.87,"nope"
6.62, 25.73,"nope"
8.23, 26.60,"nope"
11.25, 21.74,"nope"
7.11, 31.57,"nope"
8.39, 24.81,"nope"
7.48, 31.53,"nope"
6.24, 31.61,"nope"
7.88, 27.09,"nope"
7.05, 25.31,"nope"
14.58, 16.01,"nope"
16.56, 18.59,"nope"
7.71, 25.93,"nope"
14.81, 18.86,"nope"
16.60, 16.78,"nope"
16.71, 16.07,"nope"
18.19, 16.24,"nope"
14.56, 18.52,"nope"
17.16, 17.05,"nope"
20.22, 14.61,"nope"
7.91, 25.43,"nope"
8.41, 24.61,"nope"
21.23, 19.63,"nope"
