"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34812.9883,14981.3438,78.9072,43.9128,6.1351,31.3103,31.5340,7.1759,20.7573,11.9819,18.1493,20.1488,9.2916,13.4382,15.2173,11.6955,10.6625,9.8130,6.2692,5.2983,5.1417,6.5332,8.6890,4.7550,10.3107,4.4114,1.8156,5.4918,6.1801,5.6942,6.7736,12.0833,15.1895,6.6819,7.2852,6.8580,1.2755,9.2924,7.2899,1.3141,3.7104,6.0363,7.8395,5.5975,6.4946,5.6617,7.4647,8.3500,5.5047,4.6171,7.8410,5.2283,2.9472,8.4931,6.9628,5.4708,6.6937,7.5862,9.3486,8.9115,3.9137,2.1945,0.9945,2.9847,"nope"
34812.0625,14985.9443,73.0621,55.0538,6.9258,19.9039,4.7291,7.7572,10.3042,10.0769,13.3623,13.8242,8.1360,10.0934,2.2401,6.3721,14.8661,12.3565,11.0276,17.2642,12.3729,8.3180,4.0894,11.9690,8.1894,5.0968,4.2265,9.7969,5.8725,8.9945,15.0973,14.0892,5.0706,1.7657,6.9550,8.7620,6.1734,4.8387,4.0423,6.6372,9.2839,15.2749,10.3678,1.9983,5.3471,10.7053,11.2267,11.8560,6.9845,6.5252,12.2597,12.7744,10.4617,7.8358,3.1691,2.7346,1.7790,5.8995,4.4829,4.0377,6.6427,9.3052,4.8668,2.2032,"nope"
34815.6211,14984.4814,60.8023,54.8012,12.7159,15.5729,6.4523,14.7900,23.9160,22.1965,20.6805,7.4449,2.1983,10.4349,8.3108,7.7861,8.2416,10.8129,7.1388,8.4935,4.6346,1.0739,4.1672,5.4673,4.7253,5.3662,3.5355,2.8152,4.5630,7.5496,8.8091,1.7590,7.3298,8.8435,4.6494,7.9625,6.2888,3.9604,1.8494,7.1766,16.1118,11.3644,5.1037,8.9815,5.3025,5.9296,10.1423,13.7324,15.0426,8.4014,1.7073,3.8172,6.6263,5.3214,3.3285,5.9581,0.8278,3.1204,5.2053,6.9099,6.2941,3.4216,1.3541,1.2825,"nope"
34843.4766,15024.9326,120.1428,38.2473,23.5176,20.8400,32.0144,18.5900,17.6033,2.1770,16.5055,13.3558,13.5195,9.6240,12.1082,14.7629,6.5278,5.9910,3.4512,4.6174,3.1108,12.8770,15.3712,12.6514,16.8344,12.2526,5.3792,2.8332,7.5608,8.4816,1.0152,1.8432,4.4376,9.9264,11.9110,12.5512,10.5126,5.6685,3.0899,4.6645,1.0335,1.1946,3.6871,6.9702,1.5521,6.8680,7.1352,2.1422,1.8575,10.5125,17.7566,10.1146,6.0341,5.4424,5.0683,3.4571,7.4027,7.7571,3.8224,4.6913,8.8888,8.6371,3.8781,1.9560,"nope"
34823.0391,14997.3359,80.6423,44.5686,16.6576,10.9726,32.2850,14.8146,16.6260,3.8916,11.0667,16.3527,13.9635,19.1934,11.2269,9.9129,8.4366,5.8898,14.2823,16.6203,7.3146,4.0330,7.2524,10.0962,9.5476,9.5354,2.1380,6.4570,5.4105,5.4517,9.9122,13.2024,5.1926,10.9715,11.6531,11.0613,12.8571,9.7988,3.8435,11.1657,9.6809,13.8471,2.5159,5.8235,8.6600,6.9481,5.9786,6.0033,7.2107,4.1026,5.4533,6.2147,2.7831,4.6394,5.1506,2.7417,9.9401,6.8016,2.3827,3.2096,4.1919,8.4055,6.4794,7.9811,"nope"
34809.6172,14976.3066,66.6093,55.8296,8.3306,16.9221,9.1283,28.9244,19.5011,14.8473,3.0542,5.2213,2.8153,13.6431,8.0271,10.1434,14.7610,10.7023,6.6838,8.6171,3.6544,5.5535,7.1795,7.7602,6.5545,5.1389,1.6393,3.3059,2.6777,9.6790,11.2712,9.5711,7.0507,6.4521,1.2024,8.0825,6.4447,3.6799,5.4553,2.3639,4.4794,11.8962,8.0667,5.2447,7.1166,4.5708,1.3122,8.3857,0.4431,8.1624,11.3148,14.5704,8.9468,7.6335,3.4012,5.1399,1.6386,2.4935,3.2655,6.3218,6.4814,4.2279,4.9611,2.8127,"nope"
34760.2383,14938.2939,51.6301,65.5626,35.2574,32.0929,4.1018,12.9155,11.4624,5.8335,5.1826,10.6054,1.6873,19.9286,10.9519,0.7026,6.7559,4.0265,4.5846,9.4972,1.8432,11.0723,10.0744,3.1389,11.9902,12.9229,4.6535,10.2653,15.4861,8.2453,4.4009,4.3980,2.7754,6.8172,3.1767,3.1613,6.7137,6.9516,3.9759,3.7681,7.5578,5.0931,9.0277,5.3906,1.6276,1.4520,2.4414,7.9882,7.8057,4.4435,5.6626,8.6989,8.3875,10.7050,6.4826,3.7441,4.1786,2.1671,2.5859,2.2594,4.5718,6.6730,9.8883,5.8017,"nope"
34841.8789,15007.3799,80.0315,39.4866,17.1123,4.7370,14.7726,2.8606,2.9788,9.9871,10.8022,10.0145,9.0160,12.1753,25.4495,20.2458,9.6555,3.0043,4.0583,5.2061,5.0502,11.0920,10.2620,9.6145,9.4517,3.3909,0.4148,5.3374,7.6696,5.5403,5.0495,4.5097,5.3407,8.1974,6.5233,5.8415,5.2318,5.4291,9.1136,5.6520,3.2999,1.2675,2.9503,12.3897,5.8607,6.8717,14.1968,15.1352,5.8836,6.9001,3.6538,6.6613,4.1696,3.8613,5.7776,0.9226,2.7577,11.7753,14.8848,7.9008,3.2423,5.5175,7.6422,6.2904,"nope"
34793.6953,14964.3008,85.3992,21.7044,26.8451,23.7241,7.7592,3.0154,5.6714,5.8562,1.7832,13.0579,13.0812,6.5251,3.8068,5.1162,11.6109,16.7762,10.6607,8.3895,3.3396,8.5152,3.8085,6.2528,6.9867,7.3492,4.5169,2.9794,4.5152,8.6044,11.2781,6.5064,5.6581,5.8890,3.2126,2.1361,0.4170,2.5402,4.2412,4.1176,8.1392,2.4730,7.7470,5.1959,8.4062,4.3055,10.9729,11.0551,1.3891,7.6892,9.4065,7.5604,10.9172,4.9096,4.9810,13.4156,15.0383,8.6979,6.9170,4.7458,8.0720,8.6761,7.3002,3.7165,"nope"
34827.5898,14991.9893,81.5672,24.2344,21.9844,8.6793,4.8323,2.8554,11.5474,6.9692,6.9147,12.4896,6.3814,2.9255,8.7669,11.6572,5.9472,7.9513,15.4892,11.7061,2.1092,10.2401,11.6148,11.4666,7.7455,3.9980,9.7154,9.0100,6.3742,5.3472,4.3918,6.9627,6.8979,1.4913,4.0293,4.8992,9.9018,13.7327,6.2482,2.8086,7.3164,8.5537,3.6264,8.5400,6.8495,1.4266,6.6062,3.4575,8.2267,3.5058,1.9754,4.6529,4.1726,2.6996,3.9822,7.0738,6.6789,5.2910,8.9108,5.1507,5.7135,11.9392,13.5840,7.2799,"nope"
