"f1","f2","f3","f4","label"
19.19,16.68,1.72,192.86,"nope"
12.03,21.37,0.43,109.20,"nope"
13.79,16.06,1.04,232.79,"nope"
14.70,18.94,2.04,247.15,"nope"
13.79,18.73,1.14,169.94,"nope"
7.63,23.53,0.74,37.32,"nope"
10.52,23.47,1.38,78.17,"nope"
12.03,17.17,0.60,186.75,"nope"
11.39,20.79,1.49,104.10,"nope"
11.50,20.81,1.49,122.36,"nope"
13.10,18.32,1.51,173.22,"nope"
14.93,16.77,0.50,145.96,"nope"
14.82,20.67,1.03,135.53,"nope"
18.06,13.62,0.85,255.45,"nope"
11.67,21.08,1.76,72.08,"nope"
14.92,15.74,1.16,234.05,"nope"
45.82,14.61,0.18,410.31,"nope"
28.00,16.11,0.70,227.85,"nope"
14.21,14.66,0.78,226.15,"nope"
10.69,20.44,1.15,147.76,"nope"
14.39,24.60,1.26,55.31,"nope"
29.38,26.12,3.27,129.70,"nope"
37.09,25.75,2.88,196.12,"nope"
41.11,27.84,2.28,203.61,"nope"
41.69,29.01,3.34,484.93,"nope"
14.28,26.87,1.76,97.60,"nope"
16.90,28.06,1.39,73.32,"nope"
12.29,28.28,0.40,45.33,"nope"
9.28,28.79,0.61,37.45,"nope"
35.07,19.71,0.13,185.89,"nope"
30.57,20.46,1.42,176.10,"nope"
21.63,21.68,1.42,106.34,"nope"
16.94,21.39,0.94,122.00,"nope"
39.00,20.68,1.02,145.03,"nope"
28.58,21.12,2.91,112.64,"nope"
18.85,20.02,0.18,90.61,"nope"
17.83,20.92,0.30,87.77,"nope"
14.12,22.35,1.06,65.96,"nope"
12.32,22.60,0.43,56.46,"nope"
12.20,22.36,0.22,48.97,"nope"
9.79,23.30,0.86,44.84,"nope"
9.62,23.53,1.37,35.08,"nope"
79.56,21.54,0.86,404.02,"nope"
21.72,22.14,1.37,123.07,"nope"
19.36,21.18,1.72,96.48,"nope"
17.00,20.90,1.32,60.77,"nope"
13.49,20.73,0.72,63.24,"nope"
11.21,24.94,2.00,53.45,"nope"
8.79,25.25,0.62,42.20,"nope"
28.97,20.09,0.48,176.45,"nope"
19.05,19.68,0.92,94.29,"nope"
13.77,21.86,0.90,73.67,"nope"
11.73,24.46,1.53,61.34,"nope"
12.17,22.61,0.40,46.91,"nope"
10.30,25.48,0.82,37.52,"nope"
8.40,24.73,0.63,39.84,"nope"
8.44,27.00,0.67,39.66,"nope"
8.21,26.75,0.74,30.75,"nope"
8.23,27.83,1.44,25.65,"nope"
6.00,28.93,0.59,20.20,"nope"
7.06,28.64,0.15,44.91,"nope"
8.99,26.31,0.29,59.45,"nope"
7.66,27.64,0.86,45.43,"nope"
35.95,19.40,0.96,220.29,"nope"
14.30,20.80,0.55,73.40,"nope"
36.19,17.81,0.94,193.77,"nope"
17.10,22.54,2.46,72.69,"nope"
78.24,21.91,2.65,328.69,"nope"
27.87,20.77,0.41,154.73,"nope"
12.31,24.44,1.15,64.13,"nope"
25.45,20.43,1.21,151.53,"nope"
20.53,21.52,0.48,94.65,"nope"
12.83,22.82,0.44,66.36,"nope"
12.15,25.14,1.62,59.64,"nope"
35.94,20.73,0.98,177.53,"nope"
20.12,20.76,2.33,85.96,"nope"
15.22,21.03,1.97,80.89,"nope"
9.35,25.34,0.33,41.58,"nope"
8.45,26.76,0.56,41.19,"nope"
19.12,20.98,1.42,96.89,"nope"
12.89,23.37,1.14,45.95,"nope"
11.76,24.90,1.30,43.49,"nope"
9.34,24.09,0.62,34.36,"nope"
8.10,25.03,0.71,25.60,"nope"
7.02,25.13,1.02,38.52,"nope"
8.22,25.75,0.66,33.90,"nope"
13.03,21.81,2.95,48.89,"nope"
7.68,26.98,0.46,24.35,"nope"
7.61,28.00,0.74,22.84,"nope"
8.26,25.06,0.62,30.14,"nope"
8.12,23.70,1.37,51.15,"nope"
44.91,17.65,1.09,680.50,"nope"
20.32,16.26,0.60,251.42,"nope"
26.89,25.50,5.66,183.88,"nope"
