"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34802.8445,14983.3157,93.6786,14.7254,25.7419,7.2478,12.3119,8.7680,20.9110,11.1186,5.7655,10.8857,11.4198,12.6710,11.8542,12.0544,16.9616,4.3227,13.7937,11.3107,1.2999,7.4247,6.5101,4.0127,8.8640,9.5569,5.7601,7.1067,8.3533,3.0449,2.5802,6.4738,5.1212,6.8018,13.5120,4.6824,1.5906,0.0374,3.9053,2.6794,4.7593,6.0792,5.0589,9.2636,4.0067,4.2481,2.8374,3.6280,4.0966,2.1303,6.2135,7.7830,9.7217,4.0802,7.8121,6.3263,2.4642,4.0874,3.1057,5.7949,2.8159,5.3850,13.1465,10.0678,"nope"
34820.5860,14988.9494,78.3627,30.1533,29.5704,13.0285,11.1537,15.3855,20.8504,2.6847,11.3904,10.4455,6.9248,5.1806,17.6903,8.2479,6.1521,5.8876,6.6412,8.0032,3.1600,12.2202,2.5132,4.9318,6.5944,12.9073,8.0844,3.5421,5.4920,4.4728,5.4326,8.1408,2.6924,4.5693,9.0670,9.1529,8.5102,10.1253,6.3738,2.3391,5.8150,7.3420,4.5920,5.2894,2.9604,4.7165,3.1749,3.3060,3.5189,1.5916,5.0041,5.7272,3.4909,10.1509,10.8051,3.5901,2.8375,1.4095,9.7871,13.3283,9.5009,6.7185,13.9449,8.4461,"nope"
34781.9799,14969.6843,77.1147,44.3379,11.4683,8.5594,14.8037,16.4084,2.0592,4.4245,6.2165,5.8069,8.9366,7.6834,13.7876,1.9710,2.8487,2.1007,2.8625,7.2600,5.8768,8.8437,8.1872,0.9418,5.5415,3.8119,7.2735,6.8125,6.9336,6.5499,4.2587,1.7888,7.9512,1.5511,14.6451,12.1462,7.9221,8.5179,7.2289,5.9225,6.2169,3.3322,10.2383,9.2913,6.5607,6.6061,1.6555,1.1881,0.9496,5.9036,10.4821,2.5794,5.9601,7.5839,3.9922,9.5017,4.5773,3.4217,7.2349,10.1466,4.0148,3.8900,3.6875,4.7758,"nope"
34791.9331,14956.4238,55.5923,35.1154,25.9111,20.9997,11.8997,11.5465,14.2861,6.2877,1.9796,2.7448,14.4147,15.8664,14.3537,3.4067,2.2272,2.8431,2.6635,4.6195,4.7284,2.5200,7.4731,5.1494,6.3163,4.8659,3.3325,4.9528,5.5302,16.8249,16.2503,9.5357,4.6074,1.7152,9.2680,14.2165,8.3689,10.0614,5.1060,4.7522,8.4366,8.4711,8.2487,1.3716,8.6005,7.1110,3.7258,6.6122,2.4876,1.6321,4.4517,5.9954,8.4780,4.0237,5.0776,3.1913,3.4329,9.1038,7.0683,6.1449,0.3233,4.4896,5.2637,7.3452,"nope"
34807.6284,14965.0942,70.5008,23.9618,17.8572,15.6591,11.1206,10.9927,5.6071,9.1434,13.7563,9.0595,12.2320,4.2725,6.0552,9.9576,9.7518,10.8047,3.0412,1.9007,5.6544,2.1827,9.0616,14.9007,14.0229,10.6546,11.5329,3.0987,9.6527,11.0828,6.6976,9.5095,8.8951,6.2254,6.3545,12.7409,13.5212,6.5039,4.9712,3.6619,1.3663,3.5204,9.2615,7.9047,7.6019,10.7950,8.6755,5.4018,2.1486,5.3807,6.0234,13.5098,10.1826,7.5943,7.3011,2.5627,3.0671,6.3269,4.6726,7.9375,4.8101,3.5393,2.5023,2.3711,"nope"
34800.8023,14972.5824,64.0163,68.3331,29.1424,19.4225,24.9533,5.3161,10.9242,17.4825,11.3753,4.8750,16.1477,17.7974,17.3524,12.2304,6.6539,2.8411,8.5186,12.4231,13.4531,13.2702,9.1857,7.1477,11.7775,14.7996,15.2762,14.2041,8.1985,2.8772,2.4712,9.1450,16.7205,13.3921,7.7455,4.5314,11.4056,11.3096,8.2642,7.4535,6.3635,5.3409,2.5299,0.8668,1.5676,7.9630,8.6561,8.2201,10.5233,12.6106,7.9536,3.7655,4.8994,2.8531,2.5555,11.3799,4.9415,8.4968,5.7854,1.2420,2.0163,6.7704,6.5853,7.7861,"nope"
34811.3237,14992.2413,77.2208,34.0159,22.5904,16.5507,4.5722,6.2617,9.8813,8.7162,5.7872,14.5059,5.2695,7.7597,11.0274,15.6125,20.1930,5.0422,0.5442,12.2365,19.3740,2.6213,3.5113,9.4597,14.3126,7.7568,6.5840,9.1546,22.6888,9.4659,10.0928,9.2372,6.8967,1.8339,2.6917,3.2042,2.3422,6.9884,11.2859,11.6068,2.7720,7.1240,2.8980,9.9141,3.7897,5.2585,4.7325,7.4687,8.5867,5.0077,3.0737,11.9756,14.5220,9.8239,9.7625,12.5832,5.7040,5.1254,13.9147,13.9101,11.9506,13.3851,3.7886,5.5083,"nope"
34824.0145,14974.3516,80.7759,42.3949,52.4301,64.5361,13.6307,15.2859,25.2574,20.4926,8.0864,11.7485,32.1507,16.3087,23.8055,26.0850,20.3786,11.9562,5.8736,12.1940,24.4288,46.7555,37.4700,33.3493,61.1687,52.1947,33.9456,21.2628,18.9740,36.2499,43.5342,18.9007,6.3962,8.5268,10.9498,35.1984,32.2231,8.5802,20.1693,33.7145,22.3813,5.0293,17.1810,19.1197,6.2974,15.9310,19.2482,17.8067,12.5764,19.8709,1.9066,12.6436,11.9957,2.5078,12.8194,15.3443,17.6958,28.7875,29.8083,29.4296,18.3859,7.4105,15.6889,10.8476,"nope"
34753.1263,14929.1832,62.1140,75.4163,24.9616,13.3201,12.0721,22.7664,16.2584,17.8981,8.5264,13.5177,17.1455,20.0505,18.7397,9.4853,5.7511,5.7805,9.3660,6.8871,5.6131,12.0828,9.6681,2.5571,9.3340,1.5892,5.1025,3.0097,5.0465,5.9055,12.5248,15.2462,9.0101,5.6256,9.6797,5.8738,5.2350,5.0637,13.1123,18.0733,12.1480,9.4137,2.7676,2.5156,8.6758,9.3714,6.3901,7.0486,1.0138,3.0397,4.1719,8.2927,10.8793,13.3290,13.6370,9.6442,6.6674,7.1196,3.0099,0.2373,4.9244,4.9177,5.2222,1.5883,"nope"
34827.5782,15013.1232,110.2043,27.9283,22.3509,16.2742,19.4330,10.7265,14.9407,30.5314,25.4777,6.7930,8.5643,8.4492,8.1850,8.2334,11.3915,5.0881,16.6717,16.6654,6.2021,4.8410,4.9831,3.4954,7.2002,13.0127,16.4305,6.0036,4.4925,3.6995,10.6733,11.3326,1.5768,5.3250,7.4778,5.0789,8.0971,6.4574,3.1462,3.6122,3.3030,5.6611,2.3645,9.5144,7.4932,2.5789,3.6268,3.7255,6.6780,2.5255,4.8269,3.4279,5.6617,4.4393,4.7777,1.7674,6.6092,5.9033,4.8165,0.9046,3.8374,1.9382,2.2369,5.7398,"nope"
